RECORD,FOOD,COUNTRY,REGION,COLOR,SEQUENCE
503,STEAK,FRANCE,SOUTH,TEAL,D
504,HAM,FRANCE,SOUTH,VIOLET,E
505,EGGS,FRANCE,SOUTH,BROWN,F
506,PORKCHOP,FRANCE,SOUTH,RED,A
507,POTATOES,FRANCE,SOUTH,BLUE,B
508,NOODLES,FRANCE,SOUTH,GREEN,C
509,HASHBROWNS,FRANCE,SOUTH,YELLOW,D
510,PEACHES,FRANCE,SOUTH,PURPLE,E
511,STRAWBERRY,FRANCE,SOUTH,ORANGE,F
512,CHICKEN,FRANCE,SOUTH,BLACK,A
513,NUGGET,FRANCE,SOUTH,WHITE,B
514,PIZZA,FRANCE,SOUTH,GRAY,C
515,PASTA,FRANCE,SOUTH,TEAL,D
516,ALFREDO,FRANCE,SOUTH,VIOLET,E
517,TACO,FRANCE,SOUTH,BROWN,F
518,CHEESEBURGER,FRANCE,SOUTH,RED,A
519,BURRITO,FRANCE,SOUTH,BLUE,B
520,CAKE,FRANCE,SOUTH,GREEN,C
521,CUPCAKE,FRANCE,SOUTH,YELLOW,D
522,STEAK,FRANCE,SOUTH,PURPLE,E
523,HAM,FRANCE,SOUTH,ORANGE,F
524,EGGS,FRANCE,SOUTH,BLACK,A
525,PORKCHOP,FRANCE,SOUTH,WHITE,B
526,POTATOES,FRANCE,SOUTH,GRAY,C
527,NOODLES,FRANCE,SOUTH,TEAL,D
528,HASHBROWNS,FRANCE,SOUTH,VIOLET,E
529,PEACHES,FRANCE,SOUTH,BROWN,F
530,STRAWBERRY,FRANCE,SOUTH,RED,A
531,CHICKEN,FRANCE,SOUTH,BLUE,B
532,NUGGET,FRANCE,SOUTH,GREEN,C
533,PIZZA,FRANCE,SOUTH,YELLOW,D
534,PASTA,FRANCE,SOUTH,PURPLE,E
535,ALFREDO,FRANCE,SOUTH,ORANGE,F
536,TACO,FRANCE,SOUTH,BLACK,A
537,CHEESEBURGER,FRANCE,SOUTH,WHITE,B
538,BURRITO,FRANCE,SOUTH,GRAY,C
539,CAKE,FRANCE,SOUTH,TEAL,D
540,CUPCAKE,FRANCE,SOUTH,VIOLET,E
541,STEAK,FRANCE,SOUTH,BROWN,F
542,HAM,FRANCE,SOUTH,RED,A
543,EGGS,FRANCE,SOUTH,BLUE,B
544,PORKCHOP,FRANCE,SOUTH,GREEN,C
545,POTATOES,FRANCE,SOUTH,YELLOW,D
546,NOODLES,FRANCE,SOUTH,PURPLE,E
547,HASHBROWNS,FRANCE,SOUTH,ORANGE,F
548,PEACHES,FRANCE,SOUTH,BLACK,A
549,STRAWBERRY,FRANCE,SOUTH,WHITE,B
550,CHICKEN,FRANCE,SOUTH,GRAY,C
551,NUGGET,FRANCE,SOUTH,TEAL,D
552,PIZZA,FRANCE,SOUTH,VIOLET,E
553,PASTA,FRANCE,SOUTH,BROWN,F
554,ALFREDO,FRANCE,SOUTH,RED,A
555,TACO,FRANCE,SOUTH,BLUE,B
556,CHEESEBURGER,FRANCE,SOUTH,GREEN,C
557,BURRITO,FRANCE,SOUTH,YELLOW,D
558,CAKE,FRANCE,SOUTH,PURPLE,E
559,CUPCAKE,FRANCE,SOUTH,ORANGE,F
560,STEAK,FRANCE,SOUTH,BLACK,A
561,HAM,FRANCE,SOUTH,WHITE,B
562,EGGS,FRANCE,SOUTH,GRAY,C
563,PORKCHOP,FRANCE,SOUTH,TEAL,D
564,POTATOES,FRANCE,SOUTH,VIOLET,E
565,NOODLES,FRANCE,SOUTH,BROWN,F
566,HASHBROWNS,FRANCE,SOUTH,RED,A
567,PEACHES,FRANCE,SOUTH,BLUE,B
568,STRAWBERRY,FRANCE,SOUTH,GREEN,C
569,CHICKEN,FRANCE,SOUTH,YELLOW,D
570,NUGGET,FRANCE,SOUTH,PURPLE,E
571,PIZZA,FRANCE,SOUTH,ORANGE,F
572,PASTA,FRANCE,SOUTH,BLACK,A
573,ALFREDO,FRANCE,SOUTH,WHITE,B
574,TACO,FRANCE,SOUTH,GRAY,C
575,CHEESEBURGER,FRANCE,SOUTH,TEAL,D
576,BURRITO,FRANCE,SOUTH,VIOLET,E
577,CAKE,FRANCE,SOUTH,BROWN,F
578,CUPCAKE,FRANCE,SOUTH,RED,A
579,STEAK,FRANCE,SOUTH,BLUE,B
580,HAM,FRANCE,SOUTH,GREEN,C
581,EGGS,FRANCE,SOUTH,YELLOW,D
582,PORKCHOP,FRANCE,SOUTH,PURPLE,E
583,POTATOES,FRANCE,SOUTH,ORANGE,F
584,NOODLES,FRANCE,SOUTH,BLACK,A
585,HASHBROWNS,FRANCE,SOUTH,WHITE,B
586,PEACHES,FRANCE,SOUTH,GRAY,C
587,STRAWBERRY,FRANCE,SOUTH,TEAL,D
588,CHICKEN,FRANCE,SOUTH,VIOLET,E
589,NUGGET,FRANCE,SOUTH,BROWN,F
590,PIZZA,FRANCE,SOUTH,RED,A
591,PASTA,FRANCE,SOUTH,BLUE,B
592,ALFREDO,FRANCE,SOUTH,GREEN,C
593,TACO,FRANCE,SOUTH,YELLOW,D
594,CHEESEBURGER,FRANCE,SOUTH,PURPLE,E
595,BURRITO,FRANCE,SOUTH,ORANGE,F
596,CAKE,FRANCE,SOUTH,BLACK,A
597,CUPCAKE,FRANCE,SOUTH,WHITE,B
598,STEAK,FRANCE,SOUTH,GRAY,C
599,HAM,FRANCE,SOUTH,TEAL,D
600,EGGS,FRANCE,SOUTH,VIOLET,E
601,PORKCHOP,FRANCE,SOUTH,BROWN,F
602,POTATOES,FRANCE,SOUTH,RED,A
603,NOODLES,FRANCE,SOUTH,BLUE,B
604,HASHBROWNS,FRANCE,SOUTH,GREEN,C
605,PEACHES,FRANCE,SOUTH,YELLOW,D
606,STRAWBERRY,FRANCE,SOUTH,PURPLE,E
607,CHICKEN,FRANCE,SOUTH,ORANGE,F
608,NUGGET,FRANCE,SOUTH,BLACK,A
609,PIZZA,FRANCE,SOUTH,WHITE,B
610,PASTA,FRANCE,SOUTH,GRAY,C
611,ALFREDO,FRANCE,SOUTH,TEAL,D
612,TACO,FRANCE,SOUTH,VIOLET,E
613,CHEESEBURGER,FRANCE,SOUTH,BROWN,F
614,BURRITO,FRANCE,SOUTH,RED,A
615,CAKE,FRANCE,SOUTH,BLUE,B
616,CUPCAKE,FRANCE,SOUTH,GREEN,C
617,STEAK,FRANCE,SOUTH,YELLOW,D
618,HAM,FRANCE,SOUTH,PURPLE,E
619,EGGS,FRANCE,SOUTH,ORANGE,F
620,PORKCHOP,FRANCE,SOUTH,BLACK,A
621,POTATOES,FRANCE,SOUTH,WHITE,B
622,NOODLES,FRANCE,SOUTH,GRAY,C
623,HASHBROWNS,FRANCE,SOUTH,TEAL,D
624,PEACHES,FRANCE,SOUTH,VIOLET,E
625,STRAWBERRY,FRANCE,SOUTH,BROWN,F
626,CHICKEN,FRANCE,SOUTH,RED,A
627,NUGGET,FRANCE,SOUTH,BLUE,B
628,PIZZA,FRANCE,SOUTH,GREEN,C
629,PASTA,FRANCE,SOUTH,YELLOW,D
630,ALFREDO,FRANCE,SOUTH,PURPLE,E
631,TACO,FRANCE,SOUTH,ORANGE,F
632,CHEESEBURGER,FRANCE,SOUTH,BLACK,A
633,BURRITO,FRANCE,SOUTH,WHITE,B
634,CAKE,FRANCE,SOUTH,GRAY,C
635,CUPCAKE,FRANCE,SOUTH,TEAL,D
636,STEAK,FRANCE,SOUTH,VIOLET,E
637,HAM,FRANCE,SOUTH,BROWN,F
638,EGGS,FRANCE,SOUTH,RED,A
639,PORKCHOP,FRANCE,SOUTH,BLUE,B
640,POTATOES,FRANCE,SOUTH,GREEN,C
641,NOODLES,FRANCE,SOUTH,YELLOW,D
642,HASHBROWNS,FRANCE,SOUTH,PURPLE,E
643,PEACHES,FRANCE,SOUTH,ORANGE,F
644,STRAWBERRY,FRANCE,SOUTH,BLACK,A
645,CHICKEN,FRANCE,SOUTH,WHITE,B
646,NUGGET,FRANCE,SOUTH,GRAY,C
647,PIZZA,FRANCE,SOUTH,TEAL,D
648,PASTA,FRANCE,SOUTH,VIOLET,E
649,ALFREDO,FRANCE,SOUTH,BROWN,F
650,TACO,FRANCE,SOUTH,RED,A
651,CHEESEBURGER,FRANCE,SOUTH,BLUE,B
652,BURRITO,FRANCE,SOUTH,GREEN,C
653,CAKE,FRANCE,SOUTH,YELLOW,D
654,CUPCAKE,FRANCE,SOUTH,PURPLE,E
655,STEAK,FRANCE,SOUTH,ORANGE,F
656,HAM,FRANCE,SOUTH,BLACK,A
657,EGGS,FRANCE,SOUTH,WHITE,B
658,PORKCHOP,FRANCE,SOUTH,GRAY,C
659,POTATOES,FRANCE,SOUTH,TEAL,D
660,NOODLES,FRANCE,SOUTH,VIOLET,E
661,HASHBROWNS,FRANCE,SOUTH,BROWN,F
662,PEACHES,FRANCE,SOUTH,RED,A
663,STRAWBERRY,FRANCE,SOUTH,BLUE,B
664,CHICKEN,FRANCE,SOUTH,GREEN,C
665,NUGGET,FRANCE,SOUTH,YELLOW,D
666,PIZZA,FRANCE,SOUTH,PURPLE,E
667,PASTA,FRANCE,SOUTH,ORANGE,F
668,ALFREDO,FRANCE,SOUTH,BLACK,A
669,TACO,FRANCE,SOUTH,WHITE,B
670,CHEESEBURGER,FRANCE,SOUTH,GRAY,C
671,BURRITO,FRANCE,SOUTH,TEAL,D
672,CAKE,FRANCE,SOUTH,VIOLET,E
673,CUPCAKE,FRANCE,SOUTH,BROWN,F
674,STEAK,FRANCE,SOUTH,RED,A
675,HAM,FRANCE,SOUTH,BLUE,B
676,EGGS,FRANCE,SOUTH,GREEN,C
677,PORKCHOP,FRANCE,SOUTH,YELLOW,D
678,POTATOES,FRANCE,SOUTH,PURPLE,E
679,NOODLES,FRANCE,SOUTH,ORANGE,F
680,HASHBROWNS,FRANCE,SOUTH,BLACK,A
681,PEACHES,FRANCE,SOUTH,WHITE,B
682,STRAWBERRY,FRANCE,SOUTH,GRAY,C
683,CHICKEN,FRANCE,SOUTH,TEAL,D
684,NUGGET,FRANCE,SOUTH,VIOLET,E
685,PIZZA,FRANCE,SOUTH,BROWN,F
686,PASTA,FRANCE,SOUTH,RED,A
687,ALFREDO,FRANCE,SOUTH,BLUE,B
688,TACO,FRANCE,SOUTH,GREEN,C
689,CHEESEBURGER,FRANCE,SOUTH,YELLOW,D
690,BURRITO,FRANCE,SOUTH,PURPLE,E
691,CAKE,FRANCE,SOUTH,ORANGE,F
692,CUPCAKE,FRANCE,SOUTH,BLACK,A
693,STEAK,FRANCE,SOUTH,WHITE,B
694,HAM,FRANCE,SOUTH,GRAY,C
695,EGGS,FRANCE,SOUTH,TEAL,D
696,PORKCHOP,FRANCE,SOUTH,VIOLET,E
697,POTATOES,FRANCE,SOUTH,BROWN,F
698,NOODLES,FRANCE,SOUTH,RED,A
699,HASHBROWNS,FRANCE,SOUTH,BLUE,B
700,PEACHES,FRANCE,SOUTH,GREEN,C
701,STRAWBERRY,FRANCE,SOUTH,YELLOW,D
702,CHICKEN,FRANCE,SOUTH,PURPLE,E
703,NUGGET,FRANCE,SOUTH,ORANGE,F
704,PIZZA,FRANCE,SOUTH,BLACK,A
705,PASTA,FRANCE,SOUTH,WHITE,B
706,ALFREDO,FRANCE,SOUTH,GRAY,C
707,TACO,FRANCE,SOUTH,TEAL,D
708,CHEESEBURGER,FRANCE,SOUTH,VIOLET,E
709,BURRITO,FRANCE,SOUTH,BROWN,F
710,CAKE,FRANCE,SOUTH,RED,A
711,CUPCAKE,FRANCE,SOUTH,BLUE,B
712,STEAK,FRANCE,SOUTH,GREEN,C
713,HAM,FRANCE,SOUTH,YELLOW,D
714,EGGS,FRANCE,SOUTH,PURPLE,E
715,PORKCHOP,FRANCE,SOUTH,ORANGE,F
716,POTATOES,FRANCE,SOUTH,BLACK,A
717,NOODLES,FRANCE,SOUTH,WHITE,B
718,HASHBROWNS,FRANCE,SOUTH,GRAY,C
719,PEACHES,FRANCE,SOUTH,TEAL,D
720,STRAWBERRY,FRANCE,SOUTH,VIOLET,E
721,CHICKEN,FRANCE,SOUTH,BROWN,F
722,NUGGET,FRANCE,SOUTH,RED,A
723,PIZZA,FRANCE,SOUTH,BLUE,B
724,PASTA,FRANCE,SOUTH,GREEN,C
725,ALFREDO,FRANCE,SOUTH,YELLOW,D
726,TACO,FRANCE,SOUTH,PURPLE,E
727,CHEESEBURGER,FRANCE,SOUTH,ORANGE,F
728,BURRITO,FRANCE,SOUTH,BLACK,A
729,CAKE,FRANCE,SOUTH,WHITE,B
730,CUPCAKE,FRANCE,SOUTH,GRAY,C
731,STEAK,FRANCE,SOUTH,TEAL,D
732,HAM,FRANCE,SOUTH,VIOLET,E
733,EGGS,FRANCE,SOUTH,BROWN,F
734,PORKCHOP,FRANCE,SOUTH,RED,A
735,POTATOES,FRANCE,SOUTH,BLUE,B
736,NOODLES,FRANCE,SOUTH,GREEN,C
737,HASHBROWNS,FRANCE,SOUTH,YELLOW,D
738,PEACHES,FRANCE,SOUTH,PURPLE,E
739,STRAWBERRY,FRANCE,SOUTH,ORANGE,F
740,CHICKEN,FRANCE,SOUTH,BLACK,A
741,NUGGET,FRANCE,SOUTH,WHITE,B
742,PIZZA,FRANCE,SOUTH,GRAY,C
743,PASTA,FRANCE,SOUTH,TEAL,D
744,ALFREDO,FRANCE,SOUTH,VIOLET,E
745,TACO,FRANCE,SOUTH,BROWN,F
746,CHEESEBURGER,FRANCE,SOUTH,RED,A
747,BURRITO,FRANCE,SOUTH,BLUE,B
748,CAKE,FRANCE,SOUTH,GREEN,C
749,CUPCAKE,FRANCE,SOUTH,YELLOW,D
750,STEAK,FRANCE,SOUTH,PURPLE,E
751,HAM,FRANCE,SOUTH,ORANGE,F
752,EGGS,FRANCE,SOUTH,BLACK,A
753,PORKCHOP,FRANCE,SOUTH,WHITE,B
754,POTATOES,FRANCE,SOUTH,GRAY,C
755,NOODLES,FRANCE,SOUTH,TEAL,D
756,HASHBROWNS,FRANCE,SOUTH,VIOLET,E
757,PEACHES,FRANCE,SOUTH,BROWN,F
758,STRAWBERRY,FRANCE,SOUTH,RED,A
759,CHICKEN,FRANCE,SOUTH,BLUE,B
760,NUGGET,FRANCE,SOUTH,GREEN,C
761,PIZZA,FRANCE,SOUTH,YELLOW,D
762,PASTA,FRANCE,SOUTH,PURPLE,E
763,ALFREDO,FRANCE,SOUTH,ORANGE,F
764,TACO,FRANCE,SOUTH,BLACK,A
765,CHEESEBURGER,FRANCE,SOUTH,WHITE,B
766,BURRITO,FRANCE,SOUTH,GRAY,C
767,CAKE,FRANCE,SOUTH,TEAL,D
768,CUPCAKE,FRANCE,SOUTH,VIOLET,E
769,STEAK,FRANCE,SOUTH,BROWN,F
770,HAM,FRANCE,SOUTH,RED,A
771,EGGS,FRANCE,SOUTH,BLUE,B
772,PORKCHOP,FRANCE,SOUTH,GREEN,C
773,POTATOES,FRANCE,SOUTH,YELLOW,D
774,NOODLES,FRANCE,SOUTH,PURPLE,E
775,HASHBROWNS,CZECH REPUBLIC,SOUTH,ORANGE,F
776,PEACHES,CZECH REPUBLIC,SOUTH,BLACK,A
777,STRAWBERRY,CZECH REPUBLIC,SOUTH,WHITE,B
778,CHICKEN,CZECH REPUBLIC,SOUTH,GRAY,C
779,NUGGET,CZECH REPUBLIC,SOUTH,TEAL,D
780,PIZZA,CZECH REPUBLIC,SOUTH,VIOLET,E
781,PASTA,CZECH REPUBLIC,SOUTH,BROWN,F
782,ALFREDO,CZECH REPUBLIC,SOUTH,RED,A
783,TACO,CZECH REPUBLIC,SOUTH,BLUE,B
784,CHEESEBURGER,CZECH REPUBLIC,SOUTH,GREEN,C
785,BURRITO,CZECH REPUBLIC,SOUTH,YELLOW,D
786,CAKE,CZECH REPUBLIC,SOUTH,PURPLE,E
787,CUPCAKE,CZECH REPUBLIC,SOUTH,ORANGE,F
788,STEAK,CZECH REPUBLIC,SOUTH,BLACK,A
789,HAM,CZECH REPUBLIC,SOUTH,WHITE,B
790,EGGS,CZECH REPUBLIC,SOUTH,GRAY,C
791,PORKCHOP,CZECH REPUBLIC,SOUTH,TEAL,D
792,POTATOES,CZECH REPUBLIC,SOUTH,VIOLET,E
793,NOODLES,CZECH REPUBLIC,SOUTH,BROWN,F
794,HASHBROWNS,CZECH REPUBLIC,SOUTH,RED,A
795,PEACHES,CZECH REPUBLIC,SOUTH,BLUE,B
796,STRAWBERRY,CZECH REPUBLIC,SOUTH,GREEN,C
797,CHICKEN,CZECH REPUBLIC,SOUTH,YELLOW,D
798,NUGGET,CZECH REPUBLIC,SOUTH,PURPLE,E
799,PIZZA,CZECH REPUBLIC,SOUTH,ORANGE,F
800,PASTA,CZECH REPUBLIC,SOUTH,BLACK,A
801,ALFREDO,CZECH REPUBLIC,SOUTH,WHITE,B
802,TACO,CZECH REPUBLIC,SOUTH,GRAY,C
803,CHEESEBURGER,CZECH REPUBLIC,SOUTH,TEAL,D
804,BURRITO,CZECH REPUBLIC,SOUTH,VIOLET,E
805,CAKE,CZECH REPUBLIC,SOUTH,BROWN,F
806,CUPCAKE,CZECH REPUBLIC,SOUTH,RED,A
807,STEAK,CZECH REPUBLIC,NORTH,BLUE,B
808,HAM,CZECH REPUBLIC,NORTH,GREEN,C
809,EGGS,CZECH REPUBLIC,NORTH,YELLOW,D
810,PORKCHOP,CZECH REPUBLIC,NORTH,PURPLE,E
811,POTATOES,CZECH REPUBLIC,NORTH,ORANGE,F
812,NOODLES,CZECH REPUBLIC,NORTH,BLACK,A
813,HASHBROWNS,CZECH REPUBLIC,NORTH,WHITE,B
814,PEACHES,CZECH REPUBLIC,NORTH,GRAY,C
815,STRAWBERRY,CZECH REPUBLIC,NORTH,TEAL,D
816,CHICKEN,CZECH REPUBLIC,NORTH,VIOLET,E
817,NUGGET,CZECH REPUBLIC,NORTH,BROWN,F
818,PIZZA,CZECH REPUBLIC,NORTH,RED,A
819,PASTA,CZECH REPUBLIC,NORTH,BLUE,B
820,ALFREDO,CZECH REPUBLIC,NORTH,GREEN,C
821,TACO,CZECH REPUBLIC,NORTH,YELLOW,D
822,CHEESEBURGER,CZECH REPUBLIC,NORTH,PURPLE,E
823,BURRITO,CZECH REPUBLIC,NORTH,ORANGE,F
824,CAKE,CZECH REPUBLIC,NORTH,BLACK,A
825,CUPCAKE,CZECH REPUBLIC,NORTH,WHITE,B
826,STEAK,CZECH REPUBLIC,NORTH,GRAY,C
827,HAM,CZECH REPUBLIC,NORTH,TEAL,D
828,EGGS,CZECH REPUBLIC,NORTH,VIOLET,E
829,PORKCHOP,CZECH REPUBLIC,NORTH,BROWN,F
830,POTATOES,CZECH REPUBLIC,NORTH,RED,A
831,NOODLES,CZECH REPUBLIC,NORTH,BLUE,B
832,HASHBROWNS,CZECH REPUBLIC,NORTH,GREEN,C
833,PEACHES,CZECH REPUBLIC,NORTH,YELLOW,D
834,STRAWBERRY,CZECH REPUBLIC,NORTH,PURPLE,E
835,CHICKEN,CZECH REPUBLIC,NORTH,ORANGE,F
836,NUGGET,CZECH REPUBLIC,NORTH,BLACK,A
837,PIZZA,CZECH REPUBLIC,NORTH,WHITE,B
838,PASTA,CZECH REPUBLIC,NORTH,GRAY,C
839,ALFREDO,CZECH REPUBLIC,NORTH,TEAL,D
840,TACO,CZECH REPUBLIC,NORTH,VIOLET,E
841,CHEESEBURGER,CZECH REPUBLIC,NORTH,BROWN,F
842,BURRITO,CZECH REPUBLIC,NORTH,RED,A
843,CAKE,CZECH REPUBLIC,NORTH,BLUE,B
844,CUPCAKE,CZECH REPUBLIC,NORTH,GREEN,C
845,STEAK,CZECH REPUBLIC,NORTH,YELLOW,D
846,HAM,CZECH REPUBLIC,NORTH,PURPLE,E
847,EGGS,CZECH REPUBLIC,NORTH,ORANGE,F
848,PORKCHOP,CZECH REPUBLIC,NORTH,BLACK,A
849,POTATOES,CZECH REPUBLIC,NORTH,WHITE,B
850,NOODLES,CZECH REPUBLIC,NORTH,GRAY,C
851,HASHBROWNS,CZECH REPUBLIC,NORTH,TEAL,D
852,PEACHES,CZECH REPUBLIC,NORTH,VIOLET,E
853,STRAWBERRY,CZECH REPUBLIC,NORTH,BROWN,F
854,CHICKEN,CZECH REPUBLIC,NORTH,RED,A
855,NUGGET,CZECH REPUBLIC,NORTH,BLUE,B
856,PIZZA,CZECH REPUBLIC,NORTH,GREEN,C
857,PASTA,CZECH REPUBLIC,NORTH,YELLOW,D
858,ALFREDO,CZECH REPUBLIC,NORTH,PURPLE,E
859,TACO,CZECH REPUBLIC,NORTH,ORANGE,F
860,CHEESEBURGER,CZECH REPUBLIC,NORTH,BLACK,A
861,BURRITO,CZECH REPUBLIC,NORTH,WHITE,B
862,CAKE,CZECH REPUBLIC,NORTH,GRAY,C
863,CUPCAKE,CZECH REPUBLIC,NORTH,TEAL,D
864,STEAK,CZECH REPUBLIC,NORTH,VIOLET,E
865,HAM,CZECH REPUBLIC,NORTH,BROWN,F
866,EGGS,CZECH REPUBLIC,WEST,RED,A
867,PORKCHOP,CZECH REPUBLIC,WEST,BLUE,B
868,POTATOES,CZECH REPUBLIC,WEST,GREEN,C
869,NOODLES,CZECH REPUBLIC,WEST,YELLOW,D
870,HASHBROWNS,CZECH REPUBLIC,WEST,PURPLE,E
871,PEACHES,CZECH REPUBLIC,WEST,ORANGE,F
872,STRAWBERRY,CZECH REPUBLIC,WEST,BLACK,A
873,CHICKEN,CZECH REPUBLIC,WEST,WHITE,B
874,NUGGET,CZECH REPUBLIC,WEST,GRAY,C
875,PIZZA,CZECH REPUBLIC,WEST,TEAL,D
876,PASTA,CZECH REPUBLIC,WEST,VIOLET,E
877,ALFREDO,CZECH REPUBLIC,WEST,BROWN,F
878,TACO,CZECH REPUBLIC,WEST,RED,A
879,CHEESEBURGER,CZECH REPUBLIC,WEST,BLUE,B
880,BURRITO,CZECH REPUBLIC,WEST,GREEN,C
881,CAKE,CZECH REPUBLIC,WEST,YELLOW,D
882,CUPCAKE,CZECH REPUBLIC,WEST,PURPLE,E
883,STEAK,CZECH REPUBLIC,WEST,ORANGE,F
884,HAM,CZECH REPUBLIC,WEST,BLACK,A
885,EGGS,CZECH REPUBLIC,WEST,WHITE,B
886,PORKCHOP,CZECH REPUBLIC,WEST,GRAY,C
887,POTATOES,CZECH REPUBLIC,WEST,TEAL,D
888,NOODLES,CZECH REPUBLIC,WEST,VIOLET,E
889,HASHBROWNS,CZECH REPUBLIC,WEST,BROWN,F
890,PEACHES,CZECH REPUBLIC,WEST,RED,A
891,STRAWBERRY,CZECH REPUBLIC,WEST,BLUE,B
892,CHICKEN,CZECH REPUBLIC,SOUTH,GREEN,C
893,NUGGET,CZECH REPUBLIC,SOUTH,YELLOW,D
894,PIZZA,CZECH REPUBLIC,SOUTH,PURPLE,E
895,PASTA,CZECH REPUBLIC,SOUTH,ORANGE,F
896,ALFREDO,CZECH REPUBLIC,SOUTH,BLACK,A
897,TACO,CZECH REPUBLIC,SOUTH,WHITE,B
898,CHEESEBURGER,CZECH REPUBLIC,SOUTH,GRAY,C
899,BURRITO,CZECH REPUBLIC,SOUTH,TEAL,D
900,CAKE,CZECH REPUBLIC,SOUTH,VIOLET,E
901,CUPCAKE,CZECH REPUBLIC,SOUTH,BROWN,F
902,STEAK,CZECH REPUBLIC,SOUTH,RED,A
